Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
Cattle,2013,Northern and Western,Euro Million,599.1,701.5222482435597
Cattle,2013,Border,Euro Million,269.5,315.57377049180326
Cattle,2013,West,Euro Million,329.6,385.94847775175646
Cattle,2013,Southern,Euro Million,1068.3,1250.9367681498827
Cattle,2013,Mid-West,Euro Million,406.0,475.40983606557376
Cattle,2013,South-East,Euro Million,294.4,344.73067915690865
Cattle,2013,South-West,Euro Million,368.0,430.91334894613584
Cattle,2013,Eastern and Midland,Euro Million,484.4,567.2131147540983
Cattle,2013,Dublin and Mid-East,Euro Million,214.6,251.28805620608898
Cattle,2013,Midland,Euro Million,269.8,315.92505854800936
Cattle,2014,State,Euro Million,2012.3,2348.0746791131855
Cattle,2014,Northern and Western,Euro Million,555.0,647.6079346557759
Cattle,2014,Border,Euro Million,247.9,289.2648774795799
Cattle,2014,West,Euro Million,307.1,358.34305717619606
Cattle,2014,Southern,Euro Million,1001.5,1168.6114352392065
Cattle,2014,Mid-West,Euro Million,381.0,444.5740956826138
Cattle,2014,South-East,Euro Million,276.9,323.1038506417736
Cattle,2014,South-West,Euro Million,343.6,400.9334889148192
Cattle,2014,Eastern and Midland,Euro Million,455.8,531.855309218203
Cattle,2014,Dublin and Mid-East,Euro Million,205.5,239.7899649941657
Cattle,2014,Midland,Euro Million,250.2,291.9486581096849
Cattle,2015,State,Euro Million,2361.5,2761.988304093567
Cattle,2015,Northern and Western,Euro Million,653.7,764.561403508772
Cattle,2015,Border,Euro Million,289.3,338.3625730994152
Cattle,2015,West,Euro Million,364.3,426.08187134502924
Cattle,2015,Southern,Euro Million,1169.4,1367.719298245614
Cattle,2015,Mid-West,Euro Million,446.6,522.3391812865497
Cattle,2015,South-East,Euro Million,322.1,376.72514619883043
Cattle,2015,South-West,Euro Million,400.7,468.6549707602339
Cattle,2015,Eastern and Midland,Euro Million,538.4,629.7076023391812
Cattle,2015,Dublin and Mid-East,Euro Million,239.4,280.0
Cattle,2015,Midland,Euro Million,299.1,349.82456140350877
Cattle,2016,State,Euro Million,2288.9,2667.715617715618
Cattle,2016,Northern and Western,Euro Million,630.1,734.3822843822844
Cattle,2016,Border,Euro Million,279.1,325.29137529137535
Cattle,2016,West,Euro Million,351.0,409.0909090909091
Cattle,2016,Southern,Euro Million,1137.4,1325.6410256410259
Cattle,2016,Mid-West,Euro Million,437.5,509.90675990675993
Cattle,2016,South-East,Euro Million,310.5,361.8881118881119
Cattle,2016,South-West,Euro Million,389.4,453.84615384615387
Cattle,2016,Eastern and Midland,Euro Million,521.5,607.8088578088579
Cattle,2016,Dublin and Mid-East,Euro Million,230.5,268.64801864801865
Cattle,2016,Midland,Euro Million,291.0,339.1608391608392
Cattle,2017,State,Euro Million,2362.126951,2721.3444135944706
Cattle,2017,Northern and Western,Euro Million,638.2203629,735.2769157834102
Cattle,2017,Border,Euro Million,282.868041,325.8848398617512
Cattle,2017,West,Euro Million,355.3523219,409.392075921659
Cattle,2017,Southern,Euro Million,1175.199789,1353.9168076036867
Cattle,2017,Mid-West,Euro Million,456.1941813,525.569333294931
Cattle,2017,South-East,Euro Million,322.7932813,371.881660483871
Cattle,2017,South-West,Euro Million,396.2123267,456.465814170507
Cattle,2017,Eastern and Midland,Euro Million,548.7067986,632.1506896313364
Cattle,2017,Dublin and Mid-East,Euro Million,242.5676205,279.45578398617516
Cattle,2017,Midland,Euro Million,306.1391781,352.6949056451613
Cattle,2018,State,Euro Million,2248.149515,2563.4544070695556
Cattle,2018,Northern and Western,Euro Million,601.3248351,685.6611574686431
Cattle,2018,Border,Euro Million,265.5783347,302.82592326111745
Cattle,2018,West,Euro Million,335.7465004,382.8352342075257
Cattle,2018,Southern,Euro Million,1119.163431,1276.1270592930443
Cattle,2018,Mid-West,Euro Million,431.5266711,492.0486557582668
Cattle,2018,South-East,Euro Million,308.9310411,352.2588838084379
Cattle,2018,South-West,Euro Million,378.7057183,431.81951915621437
Cattle,2018,Eastern and Midland,Euro Million,527.6612497,601.6661912200684
Cattle,2018,Dublin and Mid-East,Euro Million,233.7141913,266.4928064994299
Cattle,2018,Midland,Euro Million,293.9470584,335.1733847206385
Cattle,2019,State,Euro Million,2143.926863,2419.7820124153504
Cattle,2019,Northern and Western,Euro Million,587.682407,663.2984277652371
Cattle,2019,Border,Euro Million,260.0934997,293.55925474040635
Cattle,2019,West,Euro Million,327.5889073,369.73917302483073
Cattle,2019,Southern,Euro Million,1057.774733,1193.8766738148984
Cattle,2019,Mid-West,Euro Million,412.6718584,465.7695918735892
Cattle,2019,South-East,Euro Million,285.0305173,321.7048727990971
Cattle,2019,South-West,Euro Million,360.0723571,406.40220891647857
Cattle,2019,Eastern and Midland,Euro Million,498.4697228,562.6069106094809
Cattle,2019,Dublin and Mid-East,Euro Million,219.7381102,248.0114110609481
Cattle,2019,Midland,Euro Million,278.7316125,314.59549943566594
Cattle,2020,State,Euro Million,2290.496005,2567.8206334080714
Cattle,2020,Northern and Western,Euro Million,632.8931532,709.5214721973094
Cattle,2020,Border,Euro Million,281.436459,315.51172533632285
Cattle,2020,West,Euro Million,351.4566942,394.0097468609865
Cattle,2020,Southern,Euro Million,1130.211354,1267.0530874439462
Cattle,2020,Mid-West,Euro Million,443.2676541,496.9368319506726
Cattle,2020,South-East,Euro Million,303.0386627,339.7294424887892
Cattle,2020,South-West,Euro Million,383.9050375,430.3868133408071
Cattle,2020,Eastern and Midland,Euro Million,527.3914978,591.2460737668162
Cattle,2020,Dublin and Mid-East,Euro Million,232.1846303,260.2966707399103
Cattle,2020,Midland,Euro Million,295.2068675,330.94940302690577
Cattle,2021,State,Euro Million,2580.723188,2820.462500546448
Cattle,2021,Northern and Western,Euro Million,711.3069755,777.3846726775957
Cattle,2021,Border,Euro Million,315.3517897,344.64676469945357
Cattle,2021,West,Euro Million,395.9551858,432.7379079781421
Cattle,2021,Southern,Euro Million,1276.993696,1395.6215256830603
Cattle,2021,Mid-West,Euro Million,504.6757015,551.558143715847
Cattle,2021,South-East,Euro Million,339.8137824,371.38118295081966
Cattle,2021,South-West,Euro Million,432.5042122,472.6821991256831
Cattle,2021,Eastern and Midland,Euro Million,592.4225161,647.456301748634
Cattle,2021,Dublin and Mid-East,Euro Million,260.2028765,284.3747284153006
Cattle,2021,Midland,Euro Million,332.2196396,363.0815733333334
Cattle,2022,State,Euro Million,3026.843313,3120.45702371134
Cattle,2022,Northern and Western,Euro Million,823.6885779,849.163482371134
Cattle,2022,Border,Euro Million,364.6860934,375.965044742268
Cattle,2022,West,Euro Million,459.0024846,473.19843773195873
Cattle,2022,Southern,Euro Million,1507.94047,1554.577804123711
Cattle,2022,Mid-West,Euro Million,593.8591413,612.2259188659793
Cattle,2022,South-East,Euro Million,403.4177483,415.89458587628866
Cattle,2022,South-West,Euro Million,510.66358,526.4572989690721
Cattle,2022,Eastern and Midland,Euro Million,695.2142649,716.7157370103092
Cattle,2022,Dublin and Mid-East,Euro Million,303.5532723,312.9415178350515
Cattle,2022,Midland,Euro Million,391.6609926,403.77421917525766
Pigs,2010,State,Euro Million,333.7,405.96107055961073
Pigs,2010,Northern and Western,Euro Million,99.5,121.04622871046229
Pigs,2010,Border,Euro Million,88.8,108.02919708029198
Pigs,2010,West,Euro Million,10.7,13.017031630170317
Pigs,2010,Southern,Euro Million,155.5,189.1727493917275
Pigs,2010,Mid-West,Euro Million,39.5,48.053527980535286
Pigs,2010,South-East,Euro Million,50.7,61.67883211678833
Pigs,2010,South-West,Euro Million,65.3,79.4403892944039
Pigs,2010,Eastern and Midland,Euro Million,78.7,95.74209245742094
Pigs,2010,Dublin and Mid-East,Euro Million,18.9,22.992700729927005
Pigs,2010,Midland,Euro Million,59.8,72.74939172749392
Pigs,2011,State,Euro Million,394.2,466.50887573964496
Pigs,2011,Northern and Western,Euro Million,112.1,132.66272189349112
Pigs,2011,Border,Euro Million,99.3,117.51479289940829
Pigs,2011,West,Euro Million,12.7,15.029585798816568
Pigs,2011,Southern,Euro Million,201.6,238.57988165680473
Pigs,2011,Mid-West,Euro Million,58.9,69.70414201183432
Pigs,2011,South-East,Euro Million,59.0,69.8224852071006
Pigs,2011,South-West,Euro Million,83.8,99.1715976331361
Pigs,2011,Eastern and Midland,Euro Million,80.6,95.38461538461539
Pigs,2011,Dublin and Mid-East,Euro Million,20.8,24.615384615384617
Pigs,2011,Midland,Euro Million,59.8,70.76923076923077
Pigs,2012,State,Euro Million,441.5,518.801410105758
Pigs,2012,Northern and Western,Euro Million,121.5,142.7732079905993
Pigs,2012,Border,Euro Million,108.3,127.26204465334902
Pigs,2012,West,Euro Million,13.2,15.511163337250295
Pigs,2012,Southern,Euro Million,216.2,254.0540540540541
Pigs,2012,Mid-West,Euro Million,55.6,65.33490011750882
Pigs,2012,South-East,Euro Million,70.3,82.60869565217392
Pigs,2012,South-West,Euro Million,90.4,106.22796709753234
Pigs,2012,Eastern and Midland,Euro Million,103.8,121.9741480611046
Pigs,2012,Dublin and Mid-East,Euro Million,28.5,33.49001175088132
Pigs,2012,Midland,Euro Million,75.3,88.48413631022328
Pigs,2013,State,Euro Million,475.7,557.0257611241218
Pigs,2013,Northern and Western,Euro Million,126.7,148.36065573770492
Pigs,2013,Border,Euro Million,112.1,131.2646370023419
Pigs,2013,West,Euro Million,14.6,17.096018735362996
Pigs,2013,Southern,Euro Million,235.8,276.11241217798596
Pigs,2013,Mid-West,Euro Million,62.7,73.4192037470726
Pigs,2013,South-East,Euro Million,71.5,83.72365339578454
Pigs,2013,South-West,Euro Million,101.6,118.96955503512879
Pigs,2013,Eastern and Midland,Euro Million,113.2,132.55269320843092
Pigs,2013,Dublin and Mid-East,Euro Million,29.1,34.07494145199063
Pigs,2013,Midland,Euro Million,84.1,98.47775175644027
Pigs,2014,State,Euro Million,471.3,549.9416569428238
Pigs,2014,Northern and Western,Euro Million,128.8,150.291715285881
Pigs,2014,Border,Euro Million,113.9,132.90548424737457
Pigs,2014,West,Euro Million,14.9,17.38623103850642
Pigs,2014,Southern,Euro Million,230.7,269.1948658109685
Pigs,2014,Mid-West,Euro Million,73.0,85.1808634772462
Pigs,2014,South-East,Euro Million,69.7,81.33022170361727
Pigs,2014,South-West,Euro Million,88.0,102.68378063010502
Pigs,2014,Eastern and Midland,Euro Million,111.8,130.45507584597433
Pigs,2014,Dublin and Mid-East,Euro Million,28.1,32.78879813302217
Pigs,2014,Midland,Euro Million,83.7,97.66627771295217
Pigs,2015,State,Euro Million,456.3,533.6842105263157
Pigs,2015,Northern and Western,Euro Million,116.8,136.6081871345029
Pigs,2015,Border,Euro Million,103.9,121.52046783625731
Pigs,2015,West,Euro Million,13.0,15.204678362573098
Pigs,2015,Southern,Euro Million,230.0,269.00584795321635
Pigs,2015,Mid-West,Euro Million,59.4,69.47368421052632
Pigs,2015,South-East,Euro Million,75.8,88.65497076023391
Pigs,2015,South-West,Euro Million,94.8,110.87719298245614
Pigs,2015,Eastern and Midland,Euro Million,109.5,128.0701754385965
Pigs,2015,Dublin and Mid-East,Euro Million,24.6,28.771929824561404
Pigs,2015,Midland,Euro Million,84.9,99.29824561403508
Pigs,2016,State,Euro Million,465.6,542.6573426573427
Pigs,2016,Northern and Western,Euro Million,124.2,144.75524475524477
Pigs,2016,Border,Euro Million,109.5,127.62237762237763
Pigs,2016,West,Euro Million,14.6,17.016317016317018
Pigs,2016,Southern,Euro Million,223.5,260.4895104895105
Pigs,2016,Mid-West,Euro Million,64.0,74.5920745920746
Pigs,2016,South-East,Euro Million,68.5,79.83682983682984
Pigs,2016,South-West,Euro Million,90.9,105.94405594405596
Pigs,2016,Eastern and Midland,Euro Million,118.0,137.52913752913753
Pigs,2016,Dublin and Mid-East,Euro Million,30.6,35.66433566433567
Pigs,2016,Midland,Euro Million,87.4,101.86480186480188
Pigs,2017,State,Euro Million,516.7760138,595.3640711981567
Pigs,2017,Northern and Western,Euro Million,137.7113596,158.65364009216592
Pigs,2017,Border,Euro Million,123.2576919,142.0019491935484
Pigs,2017,West,Euro Million,14.45366774,16.651690944700462
Pigs,2017,Southern,Euro Million,258.8624983,298.22868467741944
Pigs,2017,Mid-West,Euro Million,69.19851164,79.72178760368665
Pigs,2017,South-East,Euro Million,85.53676616,98.54466147465439
Pigs,2017,South-West,Euro Million,104.1272205,119.96223559907835
Pigs,2017,Eastern and Midland,Euro Million,120.2021558,138.48174631336406
Pigs,2017,Dublin and Mid-East,Euro Million,31.91026853,36.76298217741936
Pigs,2017,Midland,Euro Million,88.2918873,101.71876417050692
Pigs,2018,State,Euro Million,459.0530686,523.4356540478906
Pigs,2018,Northern and Western,Euro Million,117.120234,133.54644697833524
Pigs,2018,Border,Euro Million,104.2797097,118.90502816419612
Pigs,2018,West,Euro Million,12.84052427,14.641418779931584
Pigs,2018,Southern,Euro Million,230.5677154,262.905034663626
Pigs,2018,Mid-West,Euro Million,71.17675137,81.15935161915623
Pigs,2018,South-East,Euro Million,71.55478185,81.59040119726339
Pigs,2018,South-West,Euro Million,87.8361822,100.1552818700114
Pigs,2018,Eastern and Midland,Euro Million,111.3651191,126.98417229190422
Pigs,2018,Dublin and Mid-East,Euro Million,27.40667784,31.250487844925885
Pigs,2018,Midland,Euro Million,83.95844131,95.73368450399087
Pigs,2019,State,Euro Million,543.0139383,612.8825488713318
Pigs,2019,Northern and Western,Euro Million,152.7091185,172.35792155756207
Pigs,2019,Border,Euro Million,136.6847807,154.27176151241537
Pigs,2019,West,Euro Million,16.02433778,18.086160022573363
Pigs,2019,Southern,Euro Million,259.301119,292.66491986455986
Pigs,2019,Mid-West,Euro Million,73.59774431,83.06743150112867
Pigs,2019,South-East,Euro Million,76.04277858,85.82706386004516
Pigs,2019,South-West,Euro Million,109.6605961,123.77042449209934
Pigs,2019,Eastern and Midland,Euro Million,131.0037008,147.85970744920994
Pigs,2019,Dublin and Mid-East,Euro Million,34.07855273,38.46337779909707
Pigs,2019,Midland,Euro Million,96.92514811,109.3963296952596
Pigs,2020,State,Euro Million,601.8810192,674.7545058295963
Pigs,2020,Northern and Western,Euro Million,166.7835599,186.97708508968608
Pigs,2020,Border,Euro Million,149.835741,167.97728811659192
Pigs,2020,West,Euro Million,16.94781892,18.999796995515695
Pigs,2020,Southern,Euro Million,289.4627105,324.5097651345291
Pigs,2020,Mid-West,Euro Million,85.86515563,96.261385235426
Pigs,2020,South-East,Euro Million,92.41405214,103.6031974663677
Pigs,2020,South-West,Euro Million,111.1835027,124.64518239910313
