,Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
152,Cattle,2010,Dublin and Mid-East,Euro Million,151.0,183.698296836983
153,Cattle,2010,Midland,Euro Million,188.6,229.4403892944039
154,Cattle,2011,State,Euro Million,1795.1,2124.378698224852
155,Cattle,2011,Northern and Western,Euro Million,510.4,604.0236686390532
156,Cattle,2011,Border,Euro Million,230.3,272.5443786982249
157,Cattle,2011,West,Euro Million,280.1,331.47928994082844
158,Cattle,2011,Southern,Euro Million,881.9,1043.6686390532545
159,Cattle,2011,Mid-West,Euro Million,334.8,396.2130177514793
160,Cattle,2011,South-East,Euro Million,238.9,282.72189349112426
161,Cattle,2011,South-West,Euro Million,308.2,364.73372781065086
162,Cattle,2011,Eastern and Midland,Euro Million,402.8,476.6863905325444
163,Cattle,2011,Dublin and Mid-East,Euro Million,178.4,211.1242603550296
164,Cattle,2011,Midland,Euro Million,224.4,265.5621301775148
165,Cattle,2012,State,Euro Million,2119.5,2490.5992949471215
166,Cattle,2012,Northern and Western,Euro Million,595.6,699.8824911868392
167,Cattle,2012,Border,Euro Million,268.6,315.6286721504114
168,Cattle,2012,West,Euro Million,327.0,384.2538190364278
169,Cattle,2012,Southern,Euro Million,1049.9,1233.7250293772036
170,Cattle,2012,Mid-West,Euro Million,399.6,469.56521739130443
171,Cattle,2012,South-East,Euro Million,285.0,334.9001175088132
172,Cattle,2012,South-West,Euro Million,365.4,429.3772032902468
173,Cattle,2012,Eastern and Midland,Euro Million,473.9,556.8742655699178
174,Cattle,2012,Dublin and Mid-East,Euro Million,208.0,244.41833137485315
175,Cattle,2012,Midland,Euro Million,265.9,312.45593419506463
176,Cattle,2013,State,Euro Million,2151.8,2519.672131147541
177,Cattle,2013,Northern and Western,Euro Million,599.1,701.5222482435597
178,Cattle,2013,Border,Euro Million,269.5,315.57377049180326
179,Cattle,2013,West,Euro Million,329.6,385.94847775175646
180,Cattle,2013,Southern,Euro Million,1068.3,1250.9367681498827
181,Cattle,2013,Mid-West,Euro Million,406.0,475.40983606557376
182,Cattle,2013,South-East,Euro Million,294.4,344.73067915690865
183,Cattle,2013,South-West,Euro Million,368.0,430.91334894613584
184,Cattle,2013,Eastern and Midland,Euro Million,484.4,567.2131147540983
185,Cattle,2013,Dublin and Mid-East,Euro Million,214.6,251.28805620608898
186,Cattle,2013,Midland,Euro Million,269.8,315.92505854800936
187,Cattle,2014,State,Euro Million,2012.3,2348.0746791131855
188,Cattle,2014,Northern and Western,Euro Million,555.0,647.6079346557759
189,Cattle,2014,Border,Euro Million,247.9,289.2648774795799
190,Cattle,2014,West,Euro Million,307.1,358.34305717619606
191,Cattle,2014,Southern,Euro Million,1001.5,1168.6114352392065
192,Cattle,2014,Mid-West,Euro Million,381.0,444.5740956826138
193,Cattle,2014,South-East,Euro Million,276.9,323.1038506417736
194,Cattle,2014,South-West,Euro Million,343.6,400.9334889148192
195,Cattle,2014,Eastern and Midland,Euro Million,455.8,531.855309218203
196,Cattle,2014,Dublin and Mid-East,Euro Million,205.5,239.7899649941657
197,Cattle,2014,Midland,Euro Million,250.2,291.9486581096849
198,Cattle,2015,State,Euro Million,2361.5,2761.988304093567
